How many graduated per region in 2016;;
;;
;Bachelor;Master
 Italy;178334;91930
 Nord-ovest;46956;26833
 Piemonte;11192;7467
 Valle d'Aosta / Vallée d'Aoste;189;12
 Liguria;3438;1543
 Lombardia;32137;17811
 Nord-est;36209;19358
 Trentino Alto Adige / Südtirol;2581;1372
 Provincia Autonoma Bolzano / Bozen;488;83
 Provincia Autonoma Trento;2093;1289
 Veneto;13954;7084
 Friuli-Venezia Giulia;3642;1625
 Emilia-Romagna;16032;9277
 Centro (I);42307;22541
 Toscana;10222;5448
 Umbria;2809;1157
 Marche;4836;2188
 Lazio;24440;13748
 Sud;38298;16928
 Abruzzo;6014;2520
 Molise;882;244
 Campania;18267;8607
 Puglia;8646;3688
 Basilicata;606;193
 Calabria;3883;1676
 Isole;14564;6270
 Sicilia;10951;4900
 Sardegna;3613;1370
