Population 2022;
Region;Population
 Italy;58.983.122
 Nord-ovest;15.848.100
 Piemonte;4.252.279
 Valle d'Aosta / Vallée d'Aoste;123.337
 Liguria;1.507.438
 Lombardia;9.965.046
 Nord-est;11.561.676
 Trentino Alto Adige / Südtirol;1.077.932
 Provincia Autonoma Bolzano / Bozen;535.774
 Provincia Autonoma Trento;542.158
 Veneto;4.854.633
 Friuli-Venezia Giulia;1.197.295
 Emilia-Romagna;4.431.816
 Centro (I);11.740.836
 Toscana;3.676.285
 Umbria;859.572
 Marche;1.489.789
 Lazio;5.715.190
 Sud;13.451.861
 Abruzzo;1.273.660
 Molise;290.769
 Campania;5.590.681
 Puglia;3.912.166
 Basilicata;539.999
 Calabria;1.844.586
 Isole;6.380.649
 Sicilia;4.801.468
 Sardegna;1.579.181
