Region;Master %;Bachelor %
 Piemonte;0.18;0.26
 Valle d'Aosta ;0.01;0.15
 Liguria;0.1;0.23
 Lombardia;0.18;0.32
 Trentino Alto Adige ;0.13;0.24
 Provincia Autonoma Bolzano ;0.02;0.09
 Provincia Autonoma Trento;0.24;0.39
 Veneto;0.15;0.29
 Friuli-Venezia Giulia;0.14;0.3
 Emilia-Romagna;0.21;0.36
 Toscana;0.15;0.28
 Umbria;0.13;0.33
 Marche;0.15;0.32
 Lazio;0.24;0.43
 Abruzzo;0.2;0.47
 Molise;0.08;0.3
 Campania;0.15;0.33
 Puglia;0.09;0.22
 Basilicata;0.04;0.11
 Calabria;0.09;0.21
 Sicilia;0.1;0.23
 Sardegna;0.09;0.23
