Region;2018;2019;2020;2021
Piemonte;83.45;82.92;80.2;82.25
Valle d'Aosta / Vallée d'Aoste;84.35;86.2;84.33;84.38
Liguria;80.69;80.86;80.94;80.28
Lombardia;85;85.56;83.19;84.34
Trentino Alto Adige / Südtirol;86.34;85.8;84.03;84.42
Provincia Autonoma Bolzano / Bozen;89.04;87.78;85.42;83.76
Provincia Autonoma Trento;84.21;84.31;82.97;84.95
Veneto;83.18;82.45;79.32;82.79
Friuli-Venezia Giulia;81.25;81.74;81.67;83.78
Emilia-Romagna;83.98;84.18;83.19;84.07
Toscana;82.4;84.03;81.36;82.45
Umbria;78.44;79.71;79;78.83
Marche;78.03;79.33;78.29;81.25
Lazio;80.57;79.29;78.32;80.53
Mezzogiorno;67.94;68.77;68.73;70.19
Abruzzo;72.48;72.09;71.84;74.89
Molise;71.48;75.1;69.7;72.42
Campania;66.75;65.29;65.85;68.24
Puglia;69.49;71.4;69.66;71.1
Basilicata;63.56;66.73;70.31;71.79
Calabria;62.72;64.82;65.38;65.26
Sicilia;66.92;68.22;68.28;69.53
Sardegna;73.15;76.17;76.94;76.34
